INFO 2025-04-19 14:38:45,456 autoreload Watching for file changes with StatReloader
INFO 2025-04-19 14:39:03,413 basehttp "GET /admin/ HTTP/1.1" 200 8771
INFO 2025-04-19 14:39:19,446 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 14:39:19,495 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 14:39:20,348 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 14:39:20,373 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 14:39:22,786 basehttp "GET /admin/ HTTP/1.1" 200 8771
INFO 2025-04-19 14:44:13,918 autoreload C:\Users\rs1-t\OneDrive\Рабочий стол\Netology\diplom_1\mycloud\storage\views.py changed, reloading.
INFO 2025-04-19 14:44:15,767 autoreload Watching for file changes with StatReloader
INFO 2025-04-19 15:02:58,384 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:02:58,394 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:02:58,559 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:02:58,627 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:00,961 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:01,269 basehttp "POST /api/users/logout/ HTTP/1.1" 200 29
WARNING 2025-04-19 15:03:08,166 log Forbidden: /api/users/me/
WARNING 2025-04-19 15:03:08,171 log Forbidden: /api/users/me/
INFO 2025-04-19 15:03:08,174 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:08,175 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:03:08,175 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
WARNING 2025-04-19 15:03:08,178 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
INFO 2025-04-19 15:03:13,232 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:03:13,238 log Forbidden: /api/users/me/
WARNING 2025-04-19 15:03:13,243 log Forbidden: /api/users/me/
INFO 2025-04-19 15:03:13,243 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
WARNING 2025-04-19 15:03:13,250 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
WARNING 2025-04-19 15:03:13,250 basehttp "GET /api/users/me/ HTTP/1.1" 403 82
INFO 2025-04-19 15:03:30,788 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:31,363 basehttp "POST /api/users/login/ HTTP/1.1" 200 96
INFO 2025-04-19 15:03:31,403 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:31,407 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:31,530 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:31,540 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:34,505 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:34,505 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:34,639 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:34,639 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:34,862 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:03:34,864 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:03:42,299 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:42,345 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:03:42,440 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:42,464 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:03:42,492 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:03:42,504 basehttp "GET /api/storage/ HTTP/1.1" 200 2
INFO 2025-04-19 15:03:56,996 views admin загрузил файл: Сертификат Нетология вводный курс Python.jpg
INFO 2025-04-19 15:03:57,000 basehttp "POST /api/storage/upload/ HTTP/1.1" 201 248
INFO 2025-04-19 15:03:57,089 basehttp "GET /api/storage/ HTTP/1.1" 200 250
INFO 2025-04-19 15:04:00,592 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:04:00,639 basehttp "GET /api/csrf/ HTTP/1.1" 200 49
INFO 2025-04-19 15:04:00,728 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:04:00,764 basehttp "GET /api/storage/ HTTP/1.1" 200 250
INFO 2025-04-19 15:04:00,768 basehttp "GET /api/users/me/ HTTP/1.1" 200 87
INFO 2025-04-19 15:04:00,796 basehttp "GET /api/storage/ HTTP/1.1" 200 250
